,Order,PID,MS SubClass,MS Zoning,Lot Frontage,Lot Area,Street,Alley,Lot Shape,Land Contour,Utilities,Lot Config,Land Slope,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating,Heating QC,Central Air,Electrical,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Fireplace Qu,Garage Type,Garage Yr Blt,Garage Finish,Garage Cars,Garage Area,Garage Qual,Garage Cond,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Pool QC,Fence,Misc Feature,Misc Val,Mo Sold,Yr Sold,Sale Type,Sale Condition,SalePrice
2300,2568,535105160,20,RL,85.0,8500,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,3,1961,1961,Hip,CompShg,HdBoard,HdBoard,BrkCmn,203.0,TA,TA,CBlock,TA,TA,No,Rec,600.0,Unf,0.0,635.0,1235.0,GasA,TA,Y,SBrkr,1235,0,0,1235,0.0,0.0,1,0,2,1,TA,6,Typ,0,,Attchd,1961.0,Unf,2.0,480.0,TA,TA,Y,0,0,0,0,0,0,,GdWo,,0,12,2006,WD ,Abnorml,98600
641,721,902331010,30,C (all),,3300,Pave,,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1Story,4,3,1910,1950,Gable,CompShg,Stucco,Stucco,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0.0,Unf,0.0,624.0,624.0,GasA,Ex,Y,SBrkr,816,0,0,816,0.0,0.0,1,0,2,1,TA,5,Typ,1,Gd,,,,0.0,0.0,,,N,0,33,0,0,0,0,,,,0,6,2009,WD ,Normal,58500
1703,1903,534450110,20,RL,50.0,5000,Pave,,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1Story,3,3,1946,1950,Gable,CompShg,WdShing,Wd Shng,None,0.0,Fa,Fa,CBlock,Fa,Fa,No,LwQ,299.0,Unf,0.0,367.0,666.0,GasA,Fa,N,SBrkr,666,0,0,666,0.0,1.0,1,0,2,1,Gd,4,Typ,0,,,,,0.0,0.0,,,N,0,52,0,0,0,0,,MnPrv,,0,4,2007,WD ,Normal,64500
919,1029,527358120,20,RL,104.0,11361,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,6,5,1976,1976,Gable,CompShg,Plywood,Plywood,BrkFace,160.0,TA,TA,CBlock,Gd,TA,No,ALQ,644.0,Unf,0.0,549.0,1193.0,GasA,TA,Y,SBrkr,1523,0,0,1523,0.0,1.0,2,0,3,1,TA,7,Typ,1,TA,Attchd,1976.0,Fin,2.0,478.0,TA,TA,Y,0,0,0,0,189,0,,MnPrv,,0,5,2008,COD,Abnorml,180000
2438,2719,905108120,90,RL,75.0,8235,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,Duplex,1Story,5,4,1977,1977,Gable,CompShg,Plywood,Plywood,BrkFace,99.0,TA,TA,CBlock,TA,TA,No,Rec,483.0,Unf,0.0,1466.0,1949.0,GasA,TA,Y,SBrkr,1949,0,0,1949,0.0,0.0,2,0,6,2,TA,10,Typ,0,,Attchd,1977.0,RFn,2.0,586.0,TA,TA,Y,32,0,0,0,0,0,,,,0,5,2006,WD ,Normal,157000
218,249,906225210,85,RL,73.0,9069,Pave,,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,SFoyer,6,6,1992,1992,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,PConc,Gd,TA,Av,GLQ,747.0,Unf,0.0,189.0,936.0,GasA,Ex,Y,SBrkr,996,0,0,996,1.0,0.0,1,0,2,1,Gd,5,Typ,0,,Attchd,1992.0,Unf,2.0,564.0,TA,TA,Y,120,0,0,0,0,0,,,,0,4,2010,WD ,Normal,147000
1366,1527,909252220,50,RL,63.0,15564,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Crawfor,Norm,Norm,1Fam,1.5Fin,6,6,1914,1995,Gable,CompShg,Wd Sdng,Wd Shng,None,0.0,TA,TA,BrkTil,Gd,TA,No,Unf,0.0,Unf,0.0,676.0,676.0,GasA,Ex,Y,SBrkr,676,588,0,1264,0.0,0.0,1,0,3,1,TA,6,Typ,0,,Detchd,1994.0,Unf,2.0,400.0,TA,TA,Y,424,0,0,0,0,0,,,Shed,400,1,2008,WD ,Normal,147500
2374,2649,902128020,20,RM,60.0,7200,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1Story,4,5,1950,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,TA,TA,No,Unf,0.0,Unf,0.0,576.0,576.0,GasA,Ex,Y,SBrkr,864,0,0,864,0.0,0.0,1,0,2,1,TA,5,Typ,0,,Detchd,1952.0,RFn,1.0,528.0,TA,TA,Y,0,0,0,0,115,0,,,,0,8,2006,COD,Normal,105000
890,995,527106140,60,RL,59.0,9535,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5,1998,1998,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,Gd,GLQ,851.0,Unf,0.0,75.0,926.0,GasA,Ex,Y,SBrkr,926,678,0,1604,0.0,0.0,2,1,3,1,TA,7,Typ,0,,Attchd,1998.0,Fin,2.0,472.0,TA,TA,Y,100,82,0,0,0,0,,,,0,5,2008,WD ,Normal,195500
949,1060,528118090,60,RL,96.0,12539,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,PosN,Norm,1Fam,2Story,10,5,2005,2006,Hip,CompShg,CemntBd,CmentBd,BrkFace,468.0,Ex,TA,PConc,Ex,TA,Gd,GLQ,1082.0,Unf,0.0,538.0,1620.0,GasA,Ex,Y,SBrkr,1632,1158,0,2790,1.0,0.0,2,1,4,1,Ex,10,Typ,1,Ex,BuiltIn,2005.0,Fin,4.0,1150.0,TA,TA,Y,30,200,0,0,192,0,,,,0,6,2008,WD ,Normal,460000
684,767,904351200,70,RH,54.0,6629,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Artery,Norm,1Fam,2Story,6,6,1925,1950,Gambrel,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,Gd,BrkTil,TA,TA,No,BLQ,551.0,Unf,0.0,121.0,672.0,GasA,TA,N,SBrkr,697,672,0,1369,1.0,0.0,2,0,3,1,TA,6,Typ,0,,Detchd,1930.0,Unf,1.0,300.0,TA,TA,Y,147,0,0,0,0,0,,,,0,7,2009,WD ,Normal,103600
110,130,534450180,20,RL,50.0,7207,Pave,,IR1,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1Story,5,7,1958,2008,Gable,CompShg,Wd Sdng,Plywood,None,0.0,TA,Gd,CBlock,TA,TA,Gd,BLQ,696.0,Unf,0.0,162.0,858.0,GasA,Gd,Y,SBrkr,858,0,0,858,1.0,0.0,1,0,2,1,TA,4,Typ,0,,,,,0.0,0.0,,,Y,117,0,0,0,0,0,,,,0,2,2010,WD ,Normal,116500
2411,2691,903451050,50,RM,60.0,10320,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Fin,4,5,1924,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,BrkTil,TA,Fa,No,Unf,0.0,Unf,0.0,596.0,596.0,GasA,Po,Y,FuseF,834,596,0,1430,0.0,0.0,2,0,3,1,Fa,7,Typ,0,,Detchd,1924.0,Unf,2.0,370.0,Fa,Fa,Y,218,0,0,0,210,0,,,,0,10,2006,WD ,Abnorml,107000
154,179,902206130,45,RM,50.0,6900,Pave,,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Norm,Norm,1Fam,1.5Fin,6,7,1938,2000,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,827.0,827.0,GasA,Gd,Y,SBrkr,827,424,0,1251,0.0,0.0,1,0,3,1,Fa,6,Typ,0,,Detchd,1938.0,Unf,1.0,240.0,Fa,TA,N,0,0,0,0,0,0,,,,0,1,2010,WD ,Normal,119000
506,569,533213010,120,FV,,3830,Pave,Pave,IR1,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,TwnhsE,1Story,6,5,2008,2008,Gable,CompShg,VinylSd,VinylSd,Stone,280.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,1726.0,1726.0,GasA,Ex,Y,SBrkr,1726,0,0,1726,0.0,0.0,2,1,2,1,Gd,6,Typ,1,Gd,Attchd,2008.0,Fin,2.0,561.0,TA,TA,Y,0,254,0,0,0,0,,,,0,1,2009,New,Partial,222000
1557,1743,528228275,120,RL,53.0,3922,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Blmngtn,Norm,Norm,TwnhsE,1Story,7,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,BrkFace,72.0,Gd,TA,PConc,Ex,TA,Av,Unf,0.0,Unf,0.0,1258.0,1258.0,GasA,Ex,Y,SBrkr,1402,0,0,1402,0.0,2.0,0,2,2,1,Gd,7,Typ,1,Gd,Attchd,2006.0,Fin,3.0,648.0,TA,TA,Y,120,16,0,0,0,0,,,,0,2,2007,New,Partial,194201
1192,1329,903204010,50,RM,,7425,Pave,,IR1,Bnk,AllPub,Corner,Gtl,BrkSide,RRAn,Artery,1Fam,1.5Fin,7,7,1945,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,Fa,No,Unf,0.0,Unf,0.0,672.0,672.0,GasA,Gd,Y,SBrkr,1195,473,0,1668,0.0,0.0,1,1,3,1,Gd,8,Typ,0,,Attchd,1945.0,Unf,1.0,252.0,TA,TA,Y,210,0,0,0,0,0,,,,0,8,2008,WD ,Abnorml,108000
2352,2624,535453160,20,RL,70.0,7560,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,1959,1959,Gable,CompShg,BrkFace,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,No,LwQ,369.0,Unf,0.0,671.0,1040.0,GasA,TA,Y,FuseA,1040,0,0,1040,0.0,0.0,1,0,3,1,TA,6,Typ,0,,Attchd,1959.0,RFn,1.0,286.0,TA,TA,Y,140,0,252,0,0,0,,GdWo,,0,7,2006,WD ,Normal,133700
1659,1853,533244040,60,FV,106.0,8413,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,8,5,1998,1998,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,Gd,PConc,Ex,TA,Mn,GLQ,901.0,Unf,0.0,319.0,1220.0,GasA,Ex,Y,SBrkr,1220,1142,0,2362,1.0,0.0,2,1,3,1,Gd,8,Typ,2,TA,Attchd,1998.0,RFn,2.0,1105.0,Gd,TA,Y,147,0,36,0,144,0,,,,0,6,2007,WD ,Normal,312500
1070,1192,534177180,60,RL,90.0,10800,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,2Story,6,7,1974,1997,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,TA,TA,No,ALQ,956.0,Rec,182.0,384.0,1522.0,GasA,TA,Y,SBrkr,1548,1066,0,2614,0.0,0.0,2,1,4,1,TA,9,Typ,1,TA,Attchd,1974.0,RFn,2.0,624.0,TA,TA,Y,38,243,0,0,0,0,,,,0,6,2008,WD ,Normal,240000
2433,2713,905106210,20,RL,,11553,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,1968,1968,Hip,CompShg,Plywood,Plywood,BrkFace,188.0,TA,TA,CBlock,TA,TA,No,BLQ,673.0,Unf,0.0,378.0,1051.0,GasA,TA,Y,SBrkr,1159,0,0,1159,0.0,0.0,1,1,3,1,TA,7,Typ,1,Fa,Attchd,1968.0,Unf,1.0,336.0,TA,TA,Y,466,0,0,0,0,0,,,,0,7,2006,WD ,Normal,158000
1778,1982,902201090,50,RM,120.0,9000,Pave,,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Norm,Norm,1Fam,1.5Fin,5,8,1900,2006,Gable,CompShg,Stucco,Stucco,None,0.0,TA,TA,BrkTil,TA,Fa,No,BLQ,130.0,Unf,0.0,550.0,680.0,GasA,Ex,Y,SBrkr,680,494,0,1174,0.0,0.0,1,0,2,1,Gd,6,Typ,1,Gd,Detchd,2000.0,Unf,2.0,576.0,TA,TA,Y,116,26,40,0,0,0,,MnPrv,,0,6,2007,WD ,Normal,135000
774,865,907252210,20,RL,,11838,Pave,,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2001,2001,Hip,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,Av,Unf,0.0,Unf,0.0,1753.0,1753.0,GasA,Ex,Y,SBrkr,1788,0,0,1788,0.0,0.0,2,0,3,1,Ex,7,Typ,1,TA,Attchd,2001.0,RFn,2.0,522.0,TA,TA,Y,202,151,0,0,0,0,,,,0,6,2009,WD ,Normal,236500
2564,2855,909254070,70,RL,54.0,7588,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Crawfor,Norm,Norm,1Fam,2Story,7,6,1920,1950,Gable,CompShg,Stucco,Stucco,None,0.0,TA,TA,BrkTil,Fa,TA,No,LwQ,352.0,Unf,0.0,441.0,793.0,GasA,Gd,Y,SBrkr,901,901,0,1802,0.0,0.0,1,1,4,1,TA,9,Typ,1,Gd,Detchd,1920.0,Unf,1.0,216.0,Fa,TA,Y,0,0,40,0,0,0,,,,0,7,2006,WD ,Normal,200100
2379,2656,902207080,20,RM,49.0,5820,Pave,,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1Story,3,8,1955,2005,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,Gd,CBlock,TA,TA,No,ALQ,256.0,Unf,0.0,906.0,1162.0,GasA,Ex,Y,SBrkr,1163,0,0,1163,1.0,0.0,1,0,3,1,TA,6,Typ,0,,Attchd,1955.0,Unf,1.0,220.0,Fa,TA,Y,142,98,0,0,0,0,,,,0,7,2006,WD ,Normal,126175
325,367,527214050,20,RL,63.0,17423,Pave,,IR1,Lvl,AllPub,CulDSac,Gtl,StoneBr,Norm,Norm,1Fam,1Story,9,5,2008,2009,Hip,CompShg,VinylSd,VinylSd,Stone,748.0,Ex,TA,PConc,Ex,TA,No,GLQ,1904.0,Unf,0.0,312.0,2216.0,GasA,Ex,Y,SBrkr,2234,0,0,2234,1.0,0.0,2,0,1,1,Ex,9,Typ,1,Gd,Attchd,2009.0,Fin,3.0,1166.0,TA,TA,Y,0,60,0,0,0,0,,,,0,7,2009,New,Partial,501837
58,69,528458070,60,FV,72.0,8640,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,7,5,2009,2009,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,Mn,GLQ,24.0,Unf,0.0,732.0,756.0,GasA,Ex,Y,SBrkr,764,783,0,1547,0.0,0.0,2,1,3,1,Gd,7,Typ,0,,Attchd,2009.0,Unf,2.0,614.0,TA,TA,Y,169,45,0,0,0,0,,,,0,6,2010,Con,Normal,215200
398,448,528166060,20,RL,103.0,13472,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,10,5,2003,2003,Hip,CompShg,VinylSd,VinylSd,BrkFace,922.0,Ex,TA,PConc,Ex,TA,Gd,GLQ,56.0,Unf,0.0,2336.0,2392.0,GasA,Ex,Y,SBrkr,2392,0,0,2392,0.0,0.0,2,0,3,1,Ex,8,Typ,1,Ex,Attchd,2003.0,Fin,3.0,968.0,TA,TA,Y,248,105,0,0,0,0,,,,0,6,2009,WD ,Normal,386250
1261,1405,905403060,50,RL,50.0,5190,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1.5Fin,7,5,1948,1950,Gable,CompShg,BrkFace,Plywood,None,0.0,TA,TA,CBlock,TA,TA,No,Unf,0.0,Unf,0.0,570.0,570.0,GasA,TA,Y,SBrkr,617,462,0,1079,0.0,0.0,1,0,2,1,TA,5,Typ,1,Gd,Attchd,1948.0,Unf,1.0,249.0,TA,TA,Y,135,0,0,0,0,0,,,,0,1,2008,WD ,Normal,125600
1413,1582,916402215,20,RL,93.0,18265,Pave,,Reg,Lvl,AllPub,Corner,Gtl,Timber,Norm,Norm,1Fam,1Story,6,5,1986,1986,Gable,CompShg,Plywood,HdBoard,BrkFace,228.0,Gd,Gd,CBlock,Gd,Gd,Av,GLQ,920.0,Rec,60.0,276.0,1256.0,GasA,Ex,Y,SBrkr,1256,0,0,1256,0.0,0.0,2,0,3,1,Gd,6,Typ,1,Fa,Attchd,1986.0,Unf,2.0,578.0,TA,TA,Y,282,0,0,0,0,0,,,,0,3,2008,WD ,Normal,180000
1253,1396,905226110,190,RL,,10532,Pave,,Reg,Lvl,AllPub,Corner,Gtl,ClearCr,Norm,Norm,1Fam,1Story,5,3,1960,1960,Flat,Tar&Grv,Plywood,Plywood,Stone,275.0,TA,TA,CBlock,TA,TA,Mn,Rec,988.0,Unf,0.0,0.0,988.0,GasA,Gd,Y,SBrkr,1721,0,0,1721,1.0,0.0,2,0,3,1,TA,7,Mod,2,TA,Basment,1960.0,Unf,2.0,626.0,TA,TA,Y,50,84,0,0,0,0,,,,0,12,2008,WD ,Abnorml,145000
1415,1584,916455120,20,RL,82.0,11202,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,1Story,8,5,2003,2003,Hip,CompShg,VinylSd,VinylSd,BrkFace,206.0,Gd,TA,PConc,Ex,TA,Av,GLQ,1029.0,Unf,0.0,403.0,1432.0,GasA,Ex,Y,SBrkr,1440,0,0,1440,1.0,0.0,2,0,3,1,Gd,7,Typ,1,TA,Attchd,2003.0,Fin,2.0,467.0,TA,TA,Y,185,95,0,0,0,0,,,,0,6,2008,WD ,Normal,232500
1918,2136,907200190,80,RL,59.0,8660,Pave,,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,SLvl,5,5,1976,1976,Gable,CompShg,VinylSd,VinylSd,BrkFace,113.0,TA,Gd,CBlock,Gd,TA,Av,GLQ,502.0,Unf,0.0,513.0,1015.0,GasA,TA,Y,SBrkr,1025,0,0,1025,0.0,0.0,2,0,3,1,TA,6,Typ,1,Fa,Detchd,1979.0,Unf,2.0,370.0,TA,TA,Y,127,0,0,0,0,0,,,,0,7,2007,WD ,Normal,153500
445,501,528363050,20,RL,,10750,Pave,,IR1,Lvl,AllPub,CulDSac,Gtl,NoRidge,Norm,Norm,1Fam,1Story,8,5,1994,1995,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,634.0,Gd,TA,PConc,Gd,TA,Av,BLQ,236.0,GLQ,1526.0,262.0,2024.0,GasA,Ex,Y,SBrkr,2063,0,0,2063,1.0,0.0,2,0,3,1,Gd,7,Typ,2,Gd,Attchd,1994.0,Fin,3.0,815.0,TA,TA,Y,182,56,0,0,0,0,,,,0,6,2009,WD ,Normal,315000
1517,1695,528108160,60,RL,109.0,14154,Pave,,Reg,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,7,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,350.0,Gd,TA,PConc,Ex,Gd,No,Unf,0.0,Unf,0.0,1063.0,1063.0,GasA,Ex,Y,SBrkr,1071,1101,0,2172,0.0,0.0,2,1,3,1,Gd,9,Typ,1,Gd,Attchd,2006.0,RFn,3.0,947.0,TA,TA,Y,192,62,0,0,0,0,,,,0,8,2007,New,Partial,280000
536,601,534275100,20,RL,65.0,8125,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1959,1959,Hip,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,TA,TA,No,BLQ,403.0,Unf,0.0,461.0,864.0,GasA,Ex,Y,SBrkr,864,0,0,864,0.0,0.0,1,0,3,1,TA,5,Typ,0,,Detchd,1960.0,Unf,1.0,308.0,TA,TA,Y,0,0,0,0,0,0,,,,0,9,2009,WD ,Normal,118000
2540,2829,908188110,160,RM,24.0,2522,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,Twnhs,2Story,7,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,Stone,50.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,970.0,970.0,GasA,Ex,Y,SBrkr,970,739,0,1709,0.0,0.0,2,0,3,1,Gd,7,Maj1,0,,Detchd,2004.0,Unf,2.0,380.0,TA,TA,Y,0,40,0,0,0,0,,,,0,5,2006,WD ,Normal,134000
593,665,535383110,30,RL,60.0,10800,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1Story,5,7,1920,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0.0,Unf,0.0,720.0,720.0,GasA,TA,N,SBrkr,846,0,0,846,0.0,0.0,1,0,2,1,Gd,4,Typ,0,,Detchd,1980.0,Fin,2.0,576.0,TA,TA,N,0,0,0,0,0,0,,,,0,6,2009,WD ,Normal,106000
1508,1685,528102050,20,RL,96.0,12469,Pave,,Reg,Lvl,AllPub,FR2,Gtl,NridgHt,Norm,Norm,1Fam,1Story,9,5,2006,2007,Hip,CompShg,VinylSd,VinylSd,Stone,378.0,Ex,TA,PConc,Ex,TA,Gd,GLQ,1151.0,Unf,0.0,639.0,1790.0,GasA,Ex,Y,SBrkr,1816,0,0,1816,1.0,0.0,2,0,3,1,Ex,7,Typ,1,Gd,Attchd,2007.0,Fin,3.0,730.0,TA,TA,Y,186,36,0,0,0,0,,,,0,8,2007,New,Partial,356000
2106,2350,527355280,20,RL,79.0,10240,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,6,6,1980,1980,Gable,CompShg,Plywood,Plywood,BrkFace,157.0,TA,Gd,CBlock,Gd,TA,No,BLQ,625.0,LwQ,1061.0,0.0,1686.0,GasA,TA,Y,SBrkr,1686,0,0,1686,1.0,0.0,2,0,3,1,TA,7,Typ,1,TA,Attchd,1980.0,Unf,2.0,612.0,TA,TA,Y,384,131,0,0,0,0,,,,0,5,2006,WD ,Normal,207500
2273,2537,534201300,85,RL,70.0,8400,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Feedr,Norm,1Fam,SFoyer,5,6,1968,1968,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,Gd,TA,Gd,GLQ,744.0,Unf,0.0,89.0,833.0,GasA,Gd,Y,SBrkr,898,0,0,898,1.0,0.0,1,0,3,1,TA,6,Typ,0,,Attchd,1968.0,RFn,1.0,326.0,TA,TA,Y,143,0,0,0,0,0,,,,0,8,2006,WD ,Normal,140000
797,894,908201040,20,RL,50.0,9405,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,5,9,1947,2008,Hip,CompShg,VinylSd,VinylSd,None,0.0,TA,Ex,CBlock,TA,TA,No,Unf,0.0,Unf,0.0,698.0,698.0,GasA,Ex,Y,SBrkr,698,0,0,698,0.0,1.0,1,0,2,1,TA,4,Typ,0,,,,,0.0,0.0,,,Y,0,200,0,0,0,0,,,,0,6,2009,WD ,Normal,118000
1166,1300,902201120,20,RM,50.0,6000,Pave,,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1Story,5,5,1948,1950,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,CBlock,TA,TA,No,ALQ,104.0,BLQ,169.0,516.0,789.0,GasA,Ex,Y,SBrkr,789,0,0,789,0.0,0.0,1,0,2,1,TA,5,Typ,0,,Detchd,1948.0,Unf,1.0,250.0,TA,TA,Y,0,0,0,0,0,0,,,,0,4,2008,WD ,Partial,115000
457,516,528456220,60,FV,75.0,9000,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,8,5,2008,2008,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,768.0,768.0,GasA,Ex,Y,SBrkr,786,804,0,1590,0.0,0.0,2,1,3,1,Gd,6,Typ,0,,Attchd,2008.0,RFn,2.0,676.0,TA,TA,Y,0,30,0,0,0,0,,,,0,6,2009,WD ,Normal,210000
2396,2673,903206160,70,RL,69.0,11737,Pave,,IR1,Bnk,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,2Story,6,7,1924,1996,Gambrel,CompShg,BrkComm,Stucco,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0.0,Unf,0.0,848.0,848.0,GasW,TA,N,SBrkr,1017,810,0,1827,0.0,0.0,1,0,2,1,TA,9,Typ,1,Gd,Detchd,1943.0,Unf,1.0,240.0,Fa,TA,Y,27,36,42,0,0,0,,GdPrv,,0,5,2006,WD ,Normal,202500
939,1050,527455270,20,RL,,9477,Pave,,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,1966,1966,Gable,CompShg,HdBoard,HdBoard,BrkFace,65.0,TA,TA,CBlock,TA,TA,No,Rec,340.0,Unf,0.0,524.0,864.0,GasA,TA,Y,SBrkr,892,0,0,892,0.0,0.0,1,0,3,1,TA,5,Typ,0,,Attchd,1966.0,RFn,1.0,264.0,TA,TA,Y,0,0,0,0,0,0,,GdWo,,0,10,2008,WD ,Normal,110000
847,950,914474070,60,RL,71.0,12209,Pave,,IR1,Lvl,AllPub,CulDSac,Gtl,Mitchel,Norm,Norm,1Fam,2Story,6,5,2001,2002,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Ex,TA,No,ALQ,690.0,Unf,0.0,114.0,804.0,GasA,Ex,Y,SBrkr,804,1157,0,1961,1.0,0.0,2,1,3,1,Gd,7,Typ,1,TA,BuiltIn,2001.0,Fin,2.0,560.0,TA,TA,Y,125,192,0,0,0,0,,,,0,6,2009,WD ,Normal,215000
2189,2443,528315030,60,RL,82.0,9452,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,5,1997,1998,Gable,CompShg,VinylSd,VinylSd,BrkFace,423.0,Gd,TA,PConc,Gd,TA,No,GLQ,1074.0,Unf,0.0,322.0,1396.0,GasA,Ex,Y,SBrkr,1407,985,0,2392,1.0,0.0,2,1,3,1,Gd,7,Typ,1,TA,Attchd,1997.0,Fin,3.0,870.0,TA,TA,Y,0,70,0,0,0,0,,,,0,6,2006,WD ,Normal,348000
